SPEC,VAREA,FAREA,SAREA,DAREA,MVWIDTH,MFWIDTH,MSWIDTH,MVCON,MFCON,CVWIDTH,CFWIDTH,CSWIDTH,CVCON,CFCON,B,CCP,CLS,COP,G,HCP,HCS,HLS,HOP,HSH,HSS,HSW,HW,MCP,MCS,MGF,MLS,MOP,MOS,MSH,NPATCH,MPSIZE,MPSHAPE,MPFRAC,CPSIZE,TEDGE,LFRAC,PRICH,SHANNON,SIMPSON,SHEVEN,SIEVEN,AMPSHP,CONEDGE,NOBLOCKS
MGWA,0.580392157,0.550588235,0.062039216,397.5490196,57.76470588,54.75098039,6.223529412,0.195882353,0.208333333,20.42000046,18.01441918,12.80171202,25.69311155,24.92837885,0.024117647,0,0.038823529,0.00627451,0.015882353,0.156470588,0.019215686,0.019607843,0.204901961,0.039411765,0.000588235,0.155686275,0.120980392,0.001176471,0.005490196,0.025098039,0.00254902,0.090588235,0.061176471,0.011960784,4.215686275,0.254154995,1.445497473,1.452103808,81.74607587,263.0392157,1.200236498,4.039215686,0.472924473,0.599180392,0.802977016,0.818890523,1.352513062,36.85980392,27
MOQU,0.64,0.64,0.0585,312.5,62.35,62.35,5.95,106,106,27.56883335,27.56883335,19.58188534,39.87738284,39.87738284,0,0,0,0,0,0.5,0,0,0,0.14,0,0,0.09,0,0,0,0,0.17,0.1,0,4,0.266666667,1.505770558,1.441858016,74.64333576,271.5,1.211723386,4,0.492870209,594,0.813838844,0.7948,1.345965609,21.6,2
NOFL,0.66,643,55,555.8,66.68,64.75,5.44,0.1363,0.1562,19.56638125,24.80384172,12.68189611,25.9316248,32.55263428,0.01,0,66,0,0,131,0,51,33,0.07,34,264,0.14,24,0,34,6,125,12,0,4.6,235,1.362518015,1.437864612,81.68683609,273.2,1.208006363,4.3,0.501032709,0.6303,0.819291166,0.850038,1.334786159,24155,8
OCWA,0.566813187,0.537582418,0.059549451,433.6703297,59.98131868,56.8010989,5.964835165,0.181175824,0.20078022,20.94080288,19.68502625,10.62262568,26.35486758,23.68193496,0.052197802,0.028571429,0.009120879,0.01010989,0.013846154,0.102747253,0.010989011,0.014505495,0.121758242,0.032307692,0.02978022,0.165934066,0.14989011,0.098571429,0.003076923,0.005164835,0.006373626,0.106923077,0.03010989,0.008021978,4.703296703,0.233560091,1.398991639,1.451699344,84.32077016,274.021978,1.208442422,4.230769231,0.481257098,0.604956044,0.783665496,0.80761956,1.346726406,37.30494505,42
OSFL,0.267619048,0.223809524,0.054809524,306.1428571,25.67619048,21.50952381,5.50952381,0.309333333,0.322285714,22.50397911,19.36580575,15.7286795,25.95167904,22.18868392,0.038571429,0,0.199047619,0,0.003809524,0.064761905,0.015238095,0,0.3,0,0,0,0.016190476,0.021904762,0,0.134761905,0.013333333,0.069047619,0.087619048,0.035714286,4.19047619,0.257709751,1.445161252,1.452010701,85.34081779,253.5238095,1.192792705,3.666666667,0.43428997,0.563866667,0.830279421,0.829836825,1.314072948,43.31904762,14
PIWO,0.478695652,0.455652174,0.063956522,252.9130435,48.10434783,45.87391304,6.634782609,0.194782609,0.204565217,17.6617094,18.08018169,28.35940691,36.03597722,32.23958066,0.014782609,0,0.016086957,0,0,0.293478261,0.003478261,0.077826087,0.122608696,0.034347826,0.036086957,0.052608696,0.087391304,0,0,0,0.066086957,0.07173913,0.08826087,0.035217391,4.130434783,0.254761905,1.420915441,1.450022818,92.05487042,251.0434783,1.188149387,4,0.453571756,0.566417391,0.756752076,0.761518841,1.33660907,51.65217391,18
PUFI,0.62,0.606470588,0.055705882,503.8235294,67.65882353,66.1,5.729411765,0.147470588,0.152705882,17.50513015,17.22705556,13.82366002,25.96190271,23.59385176,0.064117647,0,0.06,0,0,0.133529412,0,0.035882353,0.049411765,0.044705882,0.108235294,0.237058824,0.092941176,0.012941176,0,0.027647059,0.067058824,0.034705882,0.014705882,0.017058824,4.588235294,0.240429505,1.382292055,1.446245556,97.11833034,257.7058824,1.195868839,3.941176471,0.443240662,0.560188235,0.779819817,0.78266,1.328972448,37.03529412,14
PYOW,0.61,0.25,0.0395,235,62.55,25.9,3.95,0.0785,0.1985,14.1868986,25.7473687,4.054202128,14.48332294,25.48022869,0,5,25,0,0,0,0,605,0,0,0,0,35,0,0,0,0.33,0,0,0,4,0.333333333,1.264658731,1.406982934,86.75477663,221,1.135019772,3.5,0.370029971,0.5114,0.78026299,0.79675,1.351716939,13.3,2
RBNU,0.81875,625,0.06425,403125,82.5125,62.7375,6.6625,0.16075,0.23025,12.72857898,17.3877266,9.583076607,20.12016119,24.43703588,0.0375,0.0025,0.0125,0,0.0025,0.16375,0.0275,275,0.05875,0.03875,0,0.0825,0.08375,0,0,0,0.17,0.02625,0.01,0.00875,5375,0.208482143,1.340135077,1.43925662,95.98790941,310.5,1.233686708,4.5,0.492173128,0.6004,0.753946586,0.7751625,1.392360054,43.9375,7
RBSA,0.383076923,0.353846154,0.052923077,478,44.69230769,42.08461538,5.284615385,0.278538462,0.291615385,24.27194281,24.55915075,7.649005685,22.12578224,23.34576799,0.073076923,0,0.227692308,0,0.036923077,0.079230769,0,0.089230769,0.082307692,0,0.013846154,0.039230769,0.105384615,0.016923077,0,0.136923077,0.075384615,0.023846154,0,0,4.384615385,0.259157509,1.393878501,1.444023194,89.11336228,248.9230769,1.18647931,3.615384615,0.42608812,0.560846154,0.836047783,0.838597436,1.306651528,86.01923077,9
RECR,0.122857143,0.122857143,0.030142857,144.1428571,12.14285714,12.14285714,2.957142857,0.314571429,0.314571429,28.82623298,28.82623298,18.7431619,40.0738655,40.0738655,0.035714286,0.004285714,0.125714286,0,0.047142857,0.044285714,0,0,0.171428571,0,0.008571429,0,0,0.097142857,0,0,0.308571429,0.04,0.057142857,0.06,5.428571429,0.196938776,1.442187614,1.478507573,118.1415778,295.8571429,1.234077052,4.142857143,0.445068223,0.556342857,0.718217701,0.732885714,1.315892771,54.82857143,4
RSTO,0.603846154,0.588461538,0.064025641,336.4358974,62.10769231,60.56923077,6.451282051,0.237871795,0.241102564,14.70211376,14.662587,18.93801682,24.88440396,24.87169888,0,0.001794872,0,0.001538462,0,0.187948718,0.001538462,0.001282051,0.203589744,0.029230769,0.000769231,0.174615385,0.097948718,0.043333333,0.007179487,0,0,0.112307692,0.088461538,0.048461538,4.179487179,0.255433455,1.466072572,1.455658488,86.13941427,264.3333333,1.20223028,4.025641026,0.462640257,0.576323077,0.774284734,0.776526239,1.36254194,33.85384615,23
RTHA,0.451428571,0.397142857,0.100857143,242.2857143,42.42857143,37.12857143,10.24285714,0.308714286,0.332142857,21.9631188,15.11688577,18.18169132,31.02452148,23.34726327,0.02,0,0.002857143,0,0,0.12,0.024285714,0.097142857,0.288571429,0.051428571,0.004285714,0.081428571,0.088571429,0.004285714,0.02,0,0.03,0.074285714,0.072857143,0.02,5.285714286,0.196598639,1.50914451,1.491539881,107.6300776,321.4285714,1.242596086,4.857142857,0.510086168,0.599771429,0.741027318,0.756418571,1.403217525,69.76428571,7
RUGR,495,457,0.0601,533.8,49.39,46.36,5.94,0.2004,0.2173,24.46933683,24.79422583,1.789058858,24.84468081,26.59842354,67,0,65,0,104,193,0,38,175,0,0.04,228,9,13,0,0,17,51,0,0,5.4,0.205396825,1.366492639,1.445375456,90.72793035,304.3,1.236905207,4.6,0.524449632,0.6399,0.807440181,0.832793333,1.338312134,55.64,9
RUHU,0.651186441,0.615254237,0.054525424,440.8813559,68.55932203,64.75762712,5.544067797,0.130932203,0.166118644,18.42176029,20.07361223,15.28660792,24.2197155,24.99963333,0.037966102,0.005423729,0.025423729,0,0.00559322,0.116610169,0,0.122542373,0.060677966,0.022881356,0.055254237,0.2,0.126610169,0.048135593,0,0.007966102,0.071016949,0.063389831,0.021694915,0.012881356,4.288135593,0.26614205,1.395513182,1.443574386,93.12024075,255.6440678,1.172796,3.813559322,0.42960437,0.542864407,0.749512411,0.751753729,1.368697236,41.8,39
SCOW,0.38,0.3,78,596,38.7,30.7,7.9,209,262,11.43003232,18.49329231,13.93044221,20.60443108,19.6110421,0.24,0,0,0,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0.3,0.05,0,0,8,125,1.430706634,1.465746386,60.92618485,504,1.351215268,5,0.643738284,0.7574,0.920981273,0.94675,1.412063612,156,1
SOSP,0.534865979,0.501113402,0.057208247,381.4948454,55.14082474,51.55587629,5.825154639,0.182810309,0.205729897,18.93930273,19.46038197,13.16456604,24.39151147,24.83028444,0.047979381,0.018371134,0.02843299,0.005690722,0.011938144,0.13785567,0.010350515,0.132020619,0.095690722,0.024103093,0.034742268,0.108082474,0.093793814,0.054474227,0.002597938,0.006268041,0.068474227,0.080061856,0.026824742,0.01356701,4.936082474,0.226874489,1.413071298,1.45529927,93.37754076,290.6,1.221393842,4.26185567,0.473963306,0.585028041,0.768686824,0.781166639,1.382613175,40.13804124,94
SSHA,0.31,255,48,464,31.15,25.7,5,0.1655,0.2455,16.11985572,35.69018664,0,18.39032626,32.42671342,0.05,0,0.12,0,25,0,0,0,245,0,0,35,75,0.12,0,0,0,0.33,0,0,4,0.266666667,1.259705575,1.400756026,88.36641374,215.5,1.160338777,4,0.468942238,0.5846,0.793256592,0.79285,1.241085804,32,2
STJA,0.375703125,0.325664063,0.047847656,336.1210938,38.33398438,33.24492188,4.870703125,0.215617188,0.251984375,22.83727905,23.60834119,13.77616889,28.6155094,28.59731958,0.048710938,0.042734375,0.093867188,0.004375,0.02890625,0.083789063,0.003789063,0.12796875,0.08421875,0.0103125,0.035273438,0.073085938,0.035703125,0.0646875,0.00109375,0.00984375,0.181875,0.052304688,0.01203125,0.006992188,4625,0.247304377,1.399811239,1.449129192,95.48604765,270.1132813,1.193190428,3.87890625,0.430576214,0.541888281,0.751738052,0.753924167,1.368687311,39.35390625,113
SWTH,0.450521739,0.404415459,0.04845314,334.1516908,46.15294686,41.43487923,4.957487923,0.173171981,0.202883092,21.85314225,21.67854687,11.92969022,27.11263699,26.38980935,0.051246377,0.01589372,0.051439614,0.005400966,0.005294686,0.096444444,0.007333333,0.159391304,0.063710145,0.012009662,0.059690821,0.076657005,0.050550725,0.051333333,0.000811594,0.001623188,0.22989372,0.041449275,0.013671498,0.006618357,4.685024155,0.248330649,1.398842267,1.452433223,99.10961343,270.7661836,1.191922144,3.828019324,0.420668569,0.53206029,0.735065263,0.737950886,1.371154642,41.28937198,158
TRSW,2.86,2.86,56,696,283.8,283.8,5.8,0.02,0.02,1.833179518,1.833179518,7.269603816,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0.66,0.29,0,0,0,0,0,0,0,3,0.333333333,1.349261743,1.411645049,92.19002115,195,1.145017306,3,0.340057083,0.4778,0.712726754,0.7167,1.473638814,0,1
VATH,0.273279678,0.212112676,0.03934004,219.971831,27.51368209,21.36438632,4.063782696,0.222792757,0.266086519,23.7019242,24.51761963,14.19414808,30.6336797,30.39557388,0.041046278,0.014185111,0.160241449,0.002635815,0.004647887,0.055432596,0.001529175,0.142555332,0.034104628,0.001911469,0.034547284,0.007404427,0.012515091,0.034889336,0.00028169,0.001126761,0.409597586,0.02527163,0.010181087,0.007022133,4.020120724,0.314915685,1.401465017,1.438692177,94.18185979,238.4929577,1.110756431,3.209255533,0.352134892,0.461005231,0.702106261,0.68888562,1.364233954,34.23903421,123
VGSW,0.35875,0.35875,0.060875,516625,35325,35325,6,0.202875,0.202875,30.16480504,30.16480504,0,37.12535734,37.12535734,0.07125,0,0.13625,0,0.30125,0.04375,0,0.00625,0.34875,0.0175,0.00375,0.07125,0,0,0,0,0,0,0,0,5.25,0.191666667,1.402299391,1.454664592,80.9968786,324375,1.252417747,4.75,0.564654325,0.68325,0.8311562,0.865708333,1.400193888,54.81875,3
WAVI,0.561140065,0.511140065,0.051211726,414.3648208,57.81270358,52.74820847,5.191530945,0.166850163,0.192899023,20.50893167,20.08914138,7.829456805,23.25256652,22.78848962,0.046710098,0.010716612,0.025211726,0.002312704,0.027980456,0.136840391,0.016970684,0.113843648,0.132410423,0.018273616,0.046286645,0.137687296,0.082964169,0.050325733,0.000456026,0.000912052,0.064397394,0.055016287,0.020065147,0.010618893,4.798045603,0.233818055,1.381218001,1.449145269,95.86363574,273.1172638,1.205828545,4.237785016,0.463417513,0.572971336,0.751363198,0.764280391,1.356645901,39.18680782,80
WCSP,0.903333333,0.873968254,0.048634921,466.3015873,97.76349206,94.48095238,4.914285714,0.151190476,0.168396825,18.90667595,17.47839618,10.16502316,19.55953074,20.32875709,0.048571429,0,0.020952381,0.017460317,0.015873016,0.08968254,0.037777778,0.041746032,0.171904762,0.028253968,0.005396825,0.207301587,0.202698413,0.004126984,0,0.014920635,0.021904762,0.028571429,0.030952381,0.011904762,4.063492063,0.264588057,1.404257228,1.444416094,88.74009394,241.8888889,1.182348819,3.682539683,0.433822174,0.557761905,0.780034231,0.782154762,1.352694362,41.15079365,29
WEFL,0.366705426,0.309302326,0.043310078,285.1369509,37.12596899,31.30968992,4.441989664,0.20526615,0.23781137,23.18866726,24.12077603,11.49258828,28.29692496,28.06415386,0.034534884,0.021731266,0.12372093,0.003475452,0.013204134,0.110826873,0.005723514,0.146447028,0.054935401,0.00625323,0.046834625,0.038113695,0.027596899,0.042235142,0.000180879,0.004405685,0.277855297,0.027118863,0.011511628,0.00381137,4.373385013,0.283018026,1.402310289,1.447040777,98.66876087,252.5981912,1.148448616,3.607235142,0.385844204,0.490366925,0.70067981,0.696270491,1.360289274,35.40135659,155
WETA,0.412094595,0.352905405,0.050756757,318.4459459,41.05067568,35.20135135,5.193243243,0.179959459,0.211608108,22.57157322,23.56024426,10.65808307,27.44971797,26.86059891,0.058851351,0.003378378,0.058918919,0,0.015202703,0.082027027,0.00527027,0.205810811,0.088310811,0.011148649,0.080675676,0.034662162,0.027905405,0.014527027,0.001891892,0.010067568,0.245810811,0.031081081,0.013513514,0.010945946,5.121621622,0.221487559,1.379564195,1.458613898,105.7808837,289.1013514,1.210953494,4.135135135,0.438475442,0.544558108,0.720099854,0.731213423,1.367011551,50.24087838,69
WIFL,1.134285714,1.134285714,0.045761905,651.4285714,130.6,129.5714286,4.504761905,0.054857143,0.055142857,9.8485162,9.987034288,12.29902475,17.51783,17.03851213,0,0,0,0,0,0.056190476,0,0.002380952,0.044761905,0.006666667,0.001428571,0.370952381,0.488095238,0,0,0,0,0.011428571,0.009047619,0.009047619,3.428571429,0.299206349,1.385809002,1.453357851,93.51937101,192.6190476,1.133968732,3.238095238,0.363911749,0.501619048,0.718696432,0.73305873,1.333188804,38.88095238,8
WIWA,0.393313953,0.340034884,0.047306977,298.1011628,40.2394186,34.85197674,4.849069767,0.183837209,0.218597674,22.22788852,21.69347406,12.56871105,28.03815039,26.5484795,0.046348837,0.022697674,0.059662791,0.003906977,0.008302326,0.090046512,0.0085,0.1485,0.078023256,0.010372093,0.045662791,0.051244186,0.041872093,0.061209302,0.000813953,0.005372093,0.228244186,0.060232558,0.021337209,0.008395349,4.540697674,0.253129384,1.4052134,1.452549966,98.51917892,265.3046512,1.18591288,3.784883721,0.414541165,0.524725581,0.733113382,0.732892457,1.370161364,34.31686047,156
WIWR,0.271535912,0.219535912,0.037668508,232.560221,27.28839779,22.04751381,3.879116022,0.222064088,0.260198895,24.15171665,24.2626554,12.70144857,29.19185625,28.51678638,0.042729282,0.023513812,0.144762431,0.002729282,0.004088398,0.058773481,0.002121547,0.146662983,0.024044199,0.003569061,0.036552486,0.010773481,0.010696133,0.043690608,0.000464088,0.004232044,0.411381215,0.02558011,0.002950276,0.001480663,4.085082873,0.310210471,1.407641292,1.445117069,97.73811705,238.3779006,1.116013211,3.249723757,0.347574034,0.454027182,0.687747243,0.675767134,1.366985084,32.89508287,151
WODU,245,245,0.1175,418.5,24.85,24.85,11.9,503,503,14.34236629,14.34236629,18.51086466,26.17221652,26.17221652,135,25,0,0,0,0,0,0,35,0.11,0,0,85,0.14,0.07,0,0,0.4,0,0,6,0.166666667,1.534309285,1.481930534,75.79013503,396.5,1.29829646,5,0.604017238,0.7188,0.875206685,0.907706667,1.430035105,37025,2
WREN,768,768,0.0776,526.2,79.32,78.6,7.76,0.2236,0.2238,11.3680686,11.46503126,14.27743534,22.67914857,22.34362606,0,0,0,0,0,54,0,0,156,44,0,252,0.32,6,28,0,0,106,34,0,3.8,0.283333333,1.435023936,1.443398898,75.15322022,248.6,1.183109962,3.8,0.455545964,598,0.805150679,0.831489333,1.383534222,46.63,5
WWPE,0.594545455,0.545454545,0.051818182,401.0909091,65.91818182,61.17272727,5.209090909,0.210818182,0.230818182,23.6029598,19.56371954,9.204589774,22.66948033,17.99965193,0.017272727,0,185,0,0,0.059090909,0.015454545,0.000909091,0.249090909,0,0.014090909,0.077272727,115,0,0,0.117727273,0.019090909,0.056818182,0.071363636,0.001818182,3.818181818,275,1.458517566,1.456923756,94.21612614,227.9545455,1.171091773,3.136363636,0.373099876,0.506918182,0.787421803,0.776251515,1.314887324,46.61818182,13
